source
ECE2131
ENG1060
ENG1090
PHS1080
ENG1005
ENG1001
ENG1002
ENG1003
ECE2041
ECE2072
ECE2071
ECE2111
ECE2191
ECE3073
ECE3091
ECE3121
ECE3132
ECE3141
ECE3161
ECE4094
ECE4095
ECE4099
ECE4151
ENG2005
ECE4024
ECE4032
ECE4033
ECE4042
ECE4043
ECE4044
ECE4045
ECE4053
ECE4055
ECE4058
ECE4063
ECE4064
ECE4074
ECE4076
ECE4077
ECE4078
ECE4081
ECE4086
ECE4087
ECE4808
ECE4809
ECE4112
ECE4122
ECE4142
ECE4162
ECE4174
ECE4175
ECE4181
ECE5881
ECE5882
ECE5883
ECE5884
ECE5885
ECE5886
ENG4700
ENG2801
TRC2001
TRC3500
